"table_catalog","table_schema","table_name","column_name","ordinal_position","column_default","is_nullable","data_type","character_maximum_length","character_octet_length","numeric_precision","numeric_precision_radix","numeric_scale","datetime_precision","interval_type","interval_precision","character_set_catalog","character_set_schema","character_set_name","collation_catalog","collation_schema","collation_name","domain_catalog","domain_schema","domain_name","udt_catalog","udt_schema","udt_name","scope_catalog","scope_schema","scope_name","maximum_cardinality","dtd_identifier","is_self_referencing","is_identity","identity_generation","identity_start","identity_increment","identity_maximum","identity_minimum","identity_cycle","is_generated","generation_expression","is_updatable"
"orders-db","public","dim_product","cost_price",10,"","YES","double precision","","",53,2,"","","","","","","","","","","","","","orders-db","pg_catalog","float8","","","","","10","NO","NO","","","","","","NO","NEVER","","YES"
"orders-db","public","dim_product","sale_price",2,"","YES","double precision","","",53,2,"","","","","","","","","","","","","","orders-db","pg_catalog","float8","","","","","2","NO","NO","","","","","","NO","NEVER","","YES"
"orders-db","public","dim_product","EAN",5,"","YES","double precision","","",53,2,"","","","","","","","","","","","","","orders-db","pg_catalog","float8","","","","","5","NO","NO","","","","","","NO","NEVER","","YES"
"orders-db","public","dim_product","date_added",6,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","orders-db","pg_catalog","text","","","","","6","NO","NO","","","","","","NO","NEVER","","YES"
"orders-db","public","dim_product","product_uuid",7,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","orders-db","pg_catalog","text","","","","","7","NO","NO","","","","","","NO","NEVER","","YES"
"orders-db","public","dim_product","availability",8,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","orders-db","pg_catalog","text","","","","","8","NO","NO","","","","","","NO","NEVER","","YES"
"orders-db","public","dim_product","product_code",9,"","NO","text","",1073741824,"","","","","","","","","","","","","","","","orders-db","pg_catalog","text","","","","","9","NO","NO","","","","","","NO","NEVER","","YES"
"orders-db","public","dim_product","country_code",11,"","YES","character varying",2,8,"","","","","","","","","","","","","","","","orders-db","pg_catalog","varchar","","","","","11","NO","NO","","","","","","NO","NEVER","","YES"
"orders-db","public","dim_product","description",1,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","orders-db","pg_catalog","text","","","","","1","NO","NO","","","","","","NO","NEVER","","YES"
"orders-db","public","dim_product","country_name",12,"","YES","character varying",50,200,"","","","","","","","","","","","","","","","orders-db","pg_catalog","varchar","","","","","12","NO","NO","","","","","","NO","NEVER","","YES"
"orders-db","public","dim_product","weight",3,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","orders-db","pg_catalog","text","","","","","3","NO","NO","","","","","","NO","NEVER","","YES"
"orders-db","public","dim_product","category",4,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","orders-db","pg_catalog","text","","","","","4","NO","NO","","","","","","NO","NEVER","","YES"
